SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,0.999999999999
0.1,0.999999999982
0.11,0.99999999981
0.12,0.999999998175
0.13,0.999999984391
0.14,0.99999988152
0.15,0.999999203171
0.16,0.99999525957
0.17,0.999975090181
0.18,0.999884527471
0.19,0.999528255985
0.2,0.998302714755
0.21,0.994623514439
0.22,0.985001959688
0.23,0.963123525745
0.24,0.919941276331
0.25,0.846086580273
0.26,0.736809726286
0.27,0.597148082385
0.28,0.443199536911
0.29,0.297047962591
0.3,0.177712167652
0.31,0.0940137253829
0.32,0.0436504422381
0.33,0.0176810362365
0.34,0.00621816418534
0.35,0.00189132000057
0.36,0.000495950926751
0.37,0.00011182724444
0.38,2.16345248592e-05
0.39,3.58465061298e-06
0.4,5.07901705707e-07
0.41,6.14585627478e-08
0.42,6.3442088368e-09
0.43,5.58161448112e-10
0.44,4.18201960888e-11
0.45,2.66664550281e-12
0.46,1.4462769716e-13
0.47,6.66863074556e-15
0.48,2.61303321185e-16
0.49,8.69814629532e-18
0.5,2.45897232375e-19
0.51,5.90219500445e-21
0.52,1.20255695362e-22
0.53,2.07938947037e-24
0.54,3.0507886227e-26
0.55,3.7969954483e-28
0.56,4.00791438488e-30
0.57,3.58702705564e-32
0.58,2.72120080391e-34
0.59,1.74923543483e-36
0.6,9.52413795404e-39
0.61,4.39028517429e-41
0.62,1.71244758889e-43
0.63,5.64847665158e-46
0.64,1.57444436262e-48
0.65,3.70556643211e-51
0.66,7.3572610907e-54
0.67,1.23102095178e-56
0.68,1.73381750692e-59
0.69,2.05293752606e-62
0.7,2.04065945092e-65
0.71,1.70026200753e-68
0.72,1.18543492589e-71
0.73,6.90332528152e-75
0.74,3.35115472022e-78
0.75,1.35318171166e-81
0.76,4.53466578255e-85
0.77,1.25804186385e-88
0.78,2.88183426787e-92
0.79,5.43575911149e-96
0.8,8.41765654783e-100
0.81,1.0668749611e-103
0.82,1.10308133316e-107
0.83,9.27219144932e-112
0.84,6.31358498838e-116
0.85,3.46940716213e-120
0.86,1.53255444241e-124
0.87,5.41979533725e-129
0.88,1.52795446812e-133
0.89,3.41886634764e-138
