SNR (dB),P(fail)
0.0,1.0
0.01,1.0
0.02,1.0
0.03,0.999999999998
0.04,0.999999999976
0.05,0.999999999759
0.06,0.999999997808
0.07,0.999999982138
0.08,0.999999869872
0.09,0.999999154456
0.1,0.99999510954
0.11,0.999974870486
0.12,0.999885478227
0.13,0.999537823959
0.14,0.998350271974
0.15,0.994796036582
0.16,0.985498411991
0.17,0.964291005658
0.18,0.922212046293
0.19,0.849753088365
0.2,0.741715932869
0.21,0.602550986899
0.22,0.448024786999
0.23,0.300437541402
0.24,0.179447797558
0.25,0.0944905735742
0.26,0.0434959775635
0.27,0.0173826739012
0.28,0.0059965137605
0.29,0.00177704934537
0.3,0.000450534906584
0.31,9.73720684792e-05
0.32,1.78835823694e-05
0.33,2.78340938212e-06
0.34,3.66195956713e-07
0.35,4.06328697969e-08
0.36,3.79462339547e-09
0.37,2.97687474368e-10
0.38,1.95835103884e-11
0.39,1.07857924008e-12
0.4,4.9657862968e-14
0.41,1.90846979424e-15
0.42,6.11462372816e-17
0.43,1.63118004548e-18
0.44,3.61886926327e-20
0.45,6.66961180227e-22
0.46,1.02005999982e-23
0.47,1.29332753518e-25
0.48,1.35807823397e-27
0.49,1.17994651107e-29
0.5,8.47456107999e-32
0.51,5.0267825041e-34
0.52,2.46026734959e-36
0.53,9.92640580611e-39
0.54,3.29845356675e-41
0.55,9.0181493312e-44
0.56,2.02664745159e-46
0.57,3.73971683221e-49
0.58,5.66007114329e-52
0.59,7.018165334e-55
0.6,7.1204705486e-58
0.61,5.90346684932e-61
0.62,3.99401867206e-64
0.63,2.20174131139e-67
0.64,9.87366385215e-71
0.65,3.59583078206e-74
0.66,1.06152223997e-77
0.67,2.53519786446e-81
0.68,4.88801335342e-85
0.69,7.5912549782e-89
0.7,9.47357274094e-93
0.71,9.47598549565e-97
0.72,7.57648037307e-101
0.73,4.82829779422e-105
0.74,2.44501695825e-109
0.75,9.80695434704e-114
0.76,3.10511672121e-118
0.77,7.73326464549e-123
0.78,1.50924650019e-127
0.79,2.29911993795e-132
0.8,2.72256836469e-137
0.81,2.49541254259e-142
0.82,1.76238795743e-147
0.83,9.54604627604e-153
0.84,3.94632896014e-158
0.85,1.23883335389e-163
0.86,2.93765903559e-169
